name,class,mode,mandate,corr_mean,corr_sd,top20_mean,top20_sd,gap_mean,gap_sd,mse_mean,mse_sd,attentive_mean,delegator_mean,delegates_mean,concentration_mean,quality_mean,platform_mean,coverage_mean,top1_mean,top10_mean,mandate_share_mean,distortion_mean
core_v0_open_mandated_participation,core_v0_planning,open,mandated_participation,0.93850377,0.01087275,0.74845479,0.02446800,0.46915184,0.03238853,0.00868492,0.00208458,0.10000000,0.35000000,1800.00000000,0.08000000,0.85352160,0.85000000,0.60000000,0.00137432,0.01116152,,
core_v0_tutored_distributed_mandated,core_v0_planning,tutored,mandated_participation,0.90676753,0.01715100,0.73974579,0.02420092,0.45192431,0.03187058,0.01274086,0.00303394,0.08000000,0.24000000,950.00000000,0.12000000,0.79173120,0.78000000,0.55000000,0.00275557,0.02156986,,
core_v0_open_institutional_delegate_emergence,core_v0_planning,open,none,0.87020509,0.02283373,0.72982764,0.02641545,0.43267329,0.03548418,0.01692053,0.00337641,0.05000000,0.30000000,250.00000000,0.38000000,0.65807280,0.90000000,0.70000000,0.01951337,0.11620564,,
core_v0_open_trusted_microdelegation,core_v0_planning,open,none,0.86082644,0.02440571,0.72726293,0.02677150,0.42850404,0.03616829,0.01793192,0.00353907,0.05000000,0.35000000,1500.00000000,0.08000000,0.84515760,0.70000000,0.45000000,0.00160749,0.01305517,,
core_v0_tutored_distributed_voluntary,core_v0_planning,tutored,enabled_voluntary,0.84483049,0.02667259,0.72320750,0.02719074,0.41958865,0.03626804,0.02020196,0.00411406,0.05000000,0.18000000,650.00000000,0.16000000,0.76336480,0.68000000,0.40000000,0.00437363,0.03292494,,
core_v0_open_mixed_trusted_delegation,core_v0_planning,open,none,0.84281603,0.02716872,0.72299725,0.02679082,0.41957328,0.03664089,0.02004804,0.00388694,0.05000000,0.30000000,1000.00000000,0.14000000,0.78693120,0.68000000,0.42000000,0.00285283,0.02190456,,
core_v0_open_plural_delegation_concentrated,core_v0_planning,open,none,0.84175560,0.02914866,0.72233959,0.02678982,0.41877554,0.03470941,0.02025368,0.00405405,0.04000000,0.30000000,60.00000000,0.55000000,0.65610800,0.85000000,0.65000000,0.07371502,0.36343796,,
core_v0_open_family_proxy_high_trust,core_v0_planning,open,none,0.81634069,0.03131095,0.71757973,0.02744091,0.40726464,0.03729718,0.02315903,0.00420753,0.04000000,0.45000000,2200.00000000,0.05000000,0.86179500,0.65000000,0.35000000,0.00103008,0.00858218,,
core_v0_open_low_attention_high_trusted_delegation,core_v0_planning,open,none,0.81543951,0.03122302,0.71771284,0.02803788,0.40597987,0.03747521,0.02322494,0.00419770,0.02000000,0.40000000,1800.00000000,0.10000000,0.82222000,0.70000000,0.42000000,0.00148843,0.01187151,,
central_high_alignment,representative,,,0.64989818,0.05421248,0.70770443,0.03399594,0.32786059,0.04211674,0.04382680,0.00822802,,,,,,,,,,0.40600000,0.28394560
central_median_democracy,representative,,,0.48296299,0.08052908,0.65677590,0.03732300,0.24875205,0.05068650,0.06266801,0.01086958,,,,,,,,,,0.31800000,0.41477500
central_median_global_south,representative,,,0.43199022,0.08930326,0.63896115,0.04089914,0.22186599,0.05514884,0.06875574,0.01205147,,,,,,,,,,0.28860000,0.48485386
central_low_alignment,representative,,,0.36940968,0.09115919,0.61809829,0.04084340,0.19015114,0.05446594,0.07538088,0.01237878,,,,,,,,,,0.28860000,0.53760000
central_very_low_alignment,representative,,,0.34111590,0.08750644,0.60740870,0.03776745,0.17572660,0.05307837,0.07865883,0.01275948,,,,,,,,,,0.22500000,0.63100000
central_crisis_legitimacy,representative,,,0.31455686,0.09649527,0.59989914,0.04157286,0.15526506,0.06087968,0.08132573,0.01330263,,,,,,,,,,0.18900000,0.71335000
salience_vector,salience,,,0.18653744,0.10681525,0.57181382,0.04235589,0.10093358,0.06230057,0.11377995,0.01730680,,,,,,,,,,,
